"Sample","Phylum","Abundance","Site"
"Site_leaf_1","Rozellomycota",0.00453686469916227,"1"
"Site_leaf_2","Rozellomycota",0,"2"
"Site_leaf_3","Rozellomycota",0.372273723022502,"3"
"Site_leaf_4","Rozellomycota",0.0195489287572411,"4"
"Site_sediment_20_1","Rozellomycota",0.0246124442499898,"1"
"Site_sediment_20_3","Rozellomycota",0.0670604715188869,"3"
"Site_sediment_20_4","Rozellomycota",0.122637519170133,"4"
"Site_sediment_5_1","Rozellomycota",0.0113290609457223,"1"
"Site_sediment_5_3","Rozellomycota",0.190186843437583,"3"
"Site_sediment_5_4","Rozellomycota",0.106251049379464,"4"
"Site_tile_d_1","Rozellomycota",0.0415682252587612,"1"
"Site_tile_d_2","Rozellomycota",0.0476396397979725,"2"
"Site_tile_d_3","Rozellomycota",0.235812377686854,"3"
"Site_tile_d_4","Rozellomycota",0.0443651442174574,"4"
"Site_tile_l_1","Rozellomycota",0.0184792763844604,"1"
"Site_tile_l_2","Rozellomycota",0.0253873008289461,"2"
"Site_tile_l_3","Rozellomycota",0.417324535022962,"3"
"Site_tile_l_4","Rozellomycota",0.0530127841574877,"4"
